"","�..","CreationDate","DeletionDate","Score","ViewCount","Body","Title","Tags","AnswerCount","CommentCount","FavoriteCount","ClosedDate","CommunityOwnedDate","AcceptedAnswerId","CreationDateComparison","CreationTime"
"276",276,"2008-12-07 17:26:26",NA,183,320963,"<p>I need to change an element's ID using jQuery.  </p>

<p>Apparently these don't work:</p>

<pre><code>jQuery(this).prev(""li"").attr(""id"")=""newid""
jQuery(this).prev(""li"")=""newid""
</code></pre>

<p>I found out that I can make it happen with the following code:</p>

<pre><code>jQuery(this).prev(""li"")show(function() {
    this.id=""newid"";
});
</code></pre>

<p>But that doesn't seem right to me. There must be a better way, no? Also, in case there isn't, what other method can I use instead of show/hide or other effects? Obviously I don't want to show/hide or affect the element every time, just to change its ID.</p>

<p>(Yep, I'm a jQuery newbie.)</p>

<p><strong>Edit</strong><br>
I can't use classes in this case, I must use IDs.</p>
","Changing an element's ID with jQuery","<javascript><jquery>",8,1,27,"","",347808,122,"17:26:26"
"277",277,"2010-05-24 23:42:31",NA,598,319416,"<p>I am trying to print an integer in <a href=""http://en.wikipedia.org/wiki/JavaScript"">JavaScript</a> with commas as thousands separators. For example, I want to show the number 1234567 as ""1,234,567"". How would I go about doing this? </p>

<p>Here is how I am doing it:</p>

<pre><code>function numberWithCommas(x) {
    x = x.toString();
    var pattern = /(-?\d+)(\d{3})/;
    while (pattern.test(x))
        x = x.replace(pattern, ""$1,$2"");
    return x;
}
</code></pre>

<p>Is there a simpler or more elegant way to do it? It would be nice if it works with floats also, but that is not necessary. It does not need to be locale-specific to decide between periods and commas. </p>
","How to print a number with commas as thousands separators in JavaScript","<javascript><formatting><numbers>",30,3,178,"","",2901298,655,"23:42:31"
"278",278,"2008-10-10 13:03:33",NA,168,319158,"<p>What exactly is the difference between the <code>window.onload</code> event and the <code>onload</code> event of the <code>body</code> tag? when do I use which and how should it be done correctly?</p>
","window.onload vs <body onload=""""/>","<javascript>",13,1,48,"","",191318,64,"13:03:33"
"279",279,"2010-12-16 09:51:32",NA,582,318935,"<p>I want to be able to preview a file (image) before it is uploaded.  The preview action should be executed all in the browser without using Ajax to upload the image.</p>

<p>How can I do this?</p>
","Preview an image before it is uploaded","<javascript><jquery><file-upload>",12,4,355,"","",4459419,861,"09:51:32"
"280",280,"2008-11-06 05:13:58",NA,45,317216,"<p>Is there an easy way to modify this code so that the target URL opens in the SAME window?</p>

<pre><code>&lt;a href=""javascript:q=(document.location.href);void(open('http://example.com/submit.php?url='+escape(q),'','resizable,location,menubar,toolbar,scrollbars,status'));""&gt;click here&lt;/a&gt;``
</code></pre>
","Javascript: open new page in same window","<javascript><window>",7,0,13,"","",267712,91,"05:13:58"
"281",281,"2012-02-17 20:03:21",NA,280,317080,"<p>I am going to make a button to take an action and save the data into a database.</p>

<p>Once the user clicks on the button, I want a javascript alert to offer ""yes"" and ""cancel"" options. If the user selects ""yes"" the data will be inserted to database, otherwise no action will be taken.</p>

<p>How do I display such a dialog?</p>
","Javascript 'yes no' alert","<javascript>",8,8,36,"","",9334684,1289,"20:03:21"
"282",282,"2009-12-22 15:56:56",NA,83,316592,"<p>I am trying to use an html button to call a javascript function.</p>

<p>Here's the code:</p>

<pre><code>&lt;input type=""button"" value=""Capacity Chart"" onclick=""CapacityChart();""&gt;
</code></pre>

<p>It doesn't seem to work correctly though. Is there a better way to do this?</p>

<p>Here is the link:<a href=""http://projectpath.ideapeoplesite.com/bendel/toolscalculators.html"">http://projectpath.ideapeoplesite.com/bendel/toolscalculators.html</a> click on the capacity tab in the bottom left section. The button should generate an alert if the values are not changed and should produce a chart if you enter values.</p>
","Using an html button to call a javascript function","<javascript><html>",8,5,26,"","",1947531,502,"15:56:56"
"283",283,"2009-01-22 12:09:36",NA,189,315709,"<p>How do I print the indicated div (without manually disabling all other content on the page)?</p>

<p>I want to avoid a new preview dialog, so crating a new window with this content is not useful...</p>

<p>The page contains a couple of tables, one of them contains the div I want to print - the table is styled with visual styles for the web, that should not be shown in print....</p>
","Print <div id=printarea></div> only?","<javascript><css><printing><dhtml>",22,0,125,"","",2618980,168,"12:09:36"
"284",284,"2008-10-30 19:27:56",NA,435,315099,"<p>Basically, I have an iframe embedded in a page and the iframe has some <a href=""http://en.wikipedia.org/wiki/JavaScript"">JavaScript</a> routines I need to invoke from the parent page.</p>

<p>Now the opposite is quite simple as you only need to call <code>parent.functionName()</code>, but unfortunately I need exactly the opposite of that.</p>

<p>Please note that my problem is not changing the source <a href=""http://en.wikipedia.org/wiki/Uniform_Resource_Locator"">URL</a> of the iframe, but invoking a function defined in the iframe.</p>
","Invoking JavaScript code in an iframe from the parent page","<javascript><html><iframe>",16,3,180,"","",251453,84,"19:27:56"
"285",285,"2009-01-30 20:21:31",NA,631,313070,"<p>I would like to find out, in Javascript, which element currently has focus. I've been looking through the DOM and haven't found what I need, yet. Is there a way to do this, and how?</p>

<p>The reason I was looking for this:</p>

<p>What I'm trying to do is make keys like the arrows and enter navigate through a table of input elements. Tab works now, but enter and arrows do not by default it seems. I've got the key handling part set up but now I need to figure out how to move the focus over in the event handling functions.</p>
","How do I find out which DOM element has the focus?","<javascript><dom>",14,0,115,"","",497108,176,"20:21:31"
"286",286,"2009-02-01 08:27:19",NA,1110,312467,"<p>What is the scope of variables in javascript? Do they have the same scope inside as opposed to outside a function? Or does it even matter? Also, where are the variables stored if they are defined globally?</p>
","What is the scope of variables in JavaScript?","<javascript><variables><scope>",19,2,662,"","",500459,178,"08:27:19"
"287",287,"2010-06-19 17:01:29",NA,150,312412,"<h2>The same origin policy</h2>

<p>I wanted to make a community wiki regarding HTML/JS <strong>same-origin policies</strong> to hopefully help anyone searching for this topic. This is one of the most searched-for topics on SO and there is no consolidated wiki for it so here I go :)</p>

<blockquote>
  <p>The same origin policy prevents a
  document or script loaded from one
  origin from getting or setting
  properties of a document from another
  origin. This policy dates all the way
  back to Netscape Navigator 2.0.</p>
</blockquote>

<h2>What are some of your favorite ways to go around same-origin policies?</h2>

<p>Please keep examples verbose and preferably also link your sources.</p>
","Ways to circumvent the same-origin policy","<javascript><ajax><same-origin-policy>",11,4,620,"","2010-06-19 17:01:29",3076648,681,"17:01:29"
"288",288,"2009-07-30 17:52:56",NA,237,312217,"<p>I want to calculate/store some statistics information using JavaScript, the equivalent code in C# is below (features I need are -- key-value pair, string/int key value pair, manipulate values by keys, etc.), any ideas how to implement the same function in JavaScript? Looks like there is no built-in Dictionary or Hashtable?</p>

<pre><code>Dictionary&lt;string, int&gt; statistics;

statistics[""Foo""] = 10;
statistics[""Goo""] = statistics[""Goo""] + 1;
statistics.Add(""Zoo"", 1);
</code></pre>
","How do I implement a Dictionary or Hashtable in Javascript?","<javascript><dictionary><hashtable>",9,6,63,"","",1208272,357,"17:52:56"
"289",289,"2010-10-17 17:43:34",NA,323,312187,"<p>Is there a method to be able to remove an item from an JavaScript array like from this array:</p>

<pre><code>var ary = ['three', 'seven', 'eleven'];
</code></pre>

<p>And I do an function like whereas:</p>

<pre><code>removeItem('seven', ary);
</code></pre>

<p>I've looked into <code>splice()</code> but that only removes by the position number, where I need something to remove an item by its value.</p>
","Remove item from array by value","<javascript><arrays>",22,1,83,"","",3955096,801,"17:43:34"
"290",290,"2011-03-18 02:20:23",NA,399,311468,"<p>Is there an easy way to get a tag name?</p>

<p>For example, if I am given <code>$('a')</code> into a function, I want to get <code>'a'</code>.</p>
","jQuery: Get selected element tag name","<javascript><jquery><jquery-selectors>",6,1,53,"","",5347371,953,"02:20:23"
"291",291,"2008-08-26 12:50:45",NA,407,311459,"<p>How do I calculate the distance between two points specified by latitude and longitude?</p>

<p>For clarification, I'd like the distance in kilometers; the points use the WGS84 system and I'd like to understand the relative accuracies of the approaches available.</p>
","Calculate distance between two latitude-longitude points? (Haversine formula)","<javascript><algorithm><math><maps><latitude-longitude>",31,0,233,"","",27943,19,"12:50:45"
"292",292,"2009-08-04 12:41:04",NA,397,310848,"<p>Is there a way in jQuery to loop through or assign to an array all of the classes that are assigned to an element?</p>

<p>ex.</p>

<pre><code>&lt;div class=""Lorem ipsum dolor_spec sit amet""&gt;Hello World!&lt;/div&gt;
</code></pre>

<p>I will be looking for a ""special"" class as in ""dolor_spec"" above.  I know that I could use hasClass() but the actual class name may not necessarily be known at the time.</p>
","Get class list for element with jQuery","<javascript><jquery><html>",15,5,66,"","",1227309,362,"12:41:04"
"293",293,"2011-06-05 12:45:29",NA,89,310162,"<p>How could I hide the 'Edit'-link after I press it? and also can I hide the ""lorem ipsum"" text when I press edit?</p>

<pre><code>&lt;script type=""text/javascript""&gt;
function showStuff(id) {
    document.getElementById(id).style.display = 'block';
}
&lt;/script&gt;


&lt;td class=""post""&gt;

&lt;a href=""#"" onclick=""showStuff('answer1'); return false;""&gt;Edit&lt;/a&gt;
&lt;span id=""answer1"" style=""display: none;""&gt;
&lt;textarea rows=""10"" cols=""115""&gt;&lt;/textarea&gt;
&lt;/span&gt;

Lorem ipsum Lorem ipsum Lorem ipsum Lorem ipsum 
&lt;/td&gt;
</code></pre>
","javascript hide/show element","<javascript>",9,0,14,"","",6243000,1032,"12:45:29"
"294",294,"2009-10-20 19:23:59",NA,329,309985,"<p>I have a global variable in JavaScript (actually a <code>window</code> property, but I don't think it matters) which was already populated by a previous script but I don't want another script that will run later to see its value or that it was even defined.</p>

<p>I've put <code>some_var = undefined</code> and it works for the purpose of testing <code>typeof some_var == ""undefined""</code> but I really do not think it's the right way to go about it.</p>

<p>What do you think?</p>
","How to unset a JavaScript variable?","<javascript><global-variables><undefined>",8,0,97,"","",25919959,439,"19:23:59"
"295",295,"2010-01-28 15:43:04",NA,196,309287,"<p>Could anyone let me know how to remove a class on an element using JavaScript only?
Please do not give me an answer with jQuery as I can't use it, and I don't know anything about it.</p>
","Remove CSS class from element with JavaScript (no jQuery)","<javascript><html><css>",14,4,42,"2014-08-12 16:58:50","",2155787,539,"15:43:04"
"296",296,"2008-09-16 19:24:34",NA,948,308585,"<p>When encoding a query string to be sent to a web server - when do you use <code>escape()</code> and when do you use <code>encodeURI()</code> or <code>encodeURIComponent()</code>:</p>

<p>Use escape:</p>

<pre><code>escape(""% +&amp;="");
</code></pre>

<p>OR</p>

<p>use encodeURI() / encodeURIComponent()</p>

<pre><code>encodeURI(""http://www.google.com?var1=value1&amp;var2=value2"");

encodeURIComponent(""var1=value1&amp;var2=value2"");
</code></pre>
","When are you supposed to use escape instead of encodeURI / encodeURIComponent?","<javascript><encoding><query-string>",10,4,450,"","",3608791,40,"19:24:34"
"297",297,"2008-11-06 22:37:30",NA,352,308195,"<p>I am creating an ajax chat in rails and I am trying to get a div to scroll to the bottom without much luck.</p>

<p>I am wrapping everything in this div:</p>

<pre><code>#scroll {
    height:400px;
    overflow:scroll;
}
</code></pre>

<p>Is there a way to keep it scrolled to the bottom by default using JS?</p>

<p>Is there a way to keep it scrolled to the bottom after an ajax request?</p>
","Scroll to bottom of div?","<javascript><html><ajax>",14,0,86,"","",270628,91,"22:37:30"
"298",298,"2012-03-27 23:57:21",NA,354,307995,"<p>Okay, this might just be a silly question, though I'm sure there are plenty of other people asking the same question from time to time. Me, I just want to make 100% sure about it either way. With jQuery we all know the wonderful </p>

<pre><code>$('document').ready(function(){});
</code></pre>

<p>However, let's say I want to run a function that is written in standard JavaScript with no library backing it, and that I want to launch a function as soon as the page is ready to handle it. What's the proper way to approach this?</p>

<p>I know I can do:</p>

<pre><code>window.onload=""myFunction()"";
</code></pre>

<p>...or I can use the <code>body</code> tag:</p>

<pre><code>&lt;body onload=""myFunction()""&gt;
</code></pre>

<p>...or I can even try at the bottom of the page after everything but the end <code>body</code> or <code>html</code> tag like:</p>

<pre><code>&lt;script type=""text/javascript""&gt;
   myFunction();
&lt;/script&gt;
</code></pre>

<p>What is a cross-browser(old/new)-compliant method of issuing one or more functions in a manner like jQuery's <code>$.ready()</code>?</p>
","pure JavaScript equivalent to jQuery's $.ready() how to call a function when the page/dom is ready for it","<javascript><jquery><html>",8,10,128,"","",9899701,1328,"23:57:21"
"299",299,"2009-03-30 21:16:19",NA,287,307537,"<p>I have a bog-standard login form - an email text field, a password field and a submit button on an AIR project that's using HTML/jQuery.  When I hit Enter on the form, the entire form's contents vanish, but the form isn't submitted.  Does anyone know if this is a Webkit issue (Adobe AIR uses Webkit for HTML), or if I've bunged things up?</p>

<p>I tried: </p>

<pre><code>$('.input').keypress(function (e) {
  if (e.which == 13) {
    $('form#login').submit();
  }
});
</code></pre>

<p>But that neither stopped the clearing behavior, or submitted the form.  There's no action associated with the form - could that be the issue?  Can I put a javascript function in the action?</p>
","Submitting a form on 'Enter' with jQuery?","<javascript><jquery><html><webkit><html-form>",12,4,63,"","",12518467,235,"21:16:19"
"300",300,"2011-01-11 10:56:54",NA,118,306822,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""http://stackoverflow.com/questions/901115/how-can-i-get-query-string-values"">How can I get query string values?</a>  </p>
</blockquote>



<p>I have the following URL:</p>

<pre class=""lang-none prettyprint-override""><code>http://www.mysite.co.uk/?location=mylocation1
</code></pre>

<p>What I need is to get the value of <code>location</code> from the URL into a variable and then use it in a jQuery code:</p>

<pre><code>var thequerystring = ""getthequerystringhere""

$('html,body').animate({scrollTop: $(""div#"" + thequerystring).offset().top}, 500);
</code></pre>

<p>Does anyone know how to grab that value using JavaScript or jQuery?</p>
","jquery get querystring from URL","<javascript><jquery><query-string>",5,1,55,"2012-12-05 20:59:55","",4656873,887,"10:56:54"
"301",301,"2009-12-10 23:05:21",NA,507,306731,"<p>I don't fully get what <a href=""http://en.wikipedia.org/wiki/Node.js"" rel=""nofollow"">Node.js</a> is all about. Maybe it's because I am mainly a web based business application developer. What is it and what is the use of it?</p>

<p>My understanding so far is that:</p>

<ol>
<li>The programming model is event driven, especially the way it handles <a href=""http://en.wikipedia.org/wiki/Input/output"" rel=""nofollow"">I/O</a>.</li>
<li>It uses <a href=""http://en.wikipedia.org/wiki/JavaScript"" rel=""nofollow"">JavaScript</a> and the parser is <a href=""http://en.wikipedia.org/wiki/V8_%28JavaScript_engine%29"" rel=""nofollow"">V8</a>.</li>
<li>It can be easily used to create concurrent server applications.</li>
</ol>

<p>Are my understandings correct? If yes, then what are the benefits of evented I/O, is it just more for the concurrency stuff? Also, is the direction of Node.js to become a framework like, JavaScript based (V8 based) programming model?</p>
","What is Node.js?","<javascript><node.js><v8><evented-io>",10,0,999,"2012-04-28 14:03:11","",1902991,490,"23:05:21"
"302",302,"2012-03-08 13:37:42",NA,93,306031,"<p>I'm having some strange problem with my JS program. I had this working properly but for some reason it's no longer working. I just want to find the value of the radio button (which one is selected) and return it to a variable. For some reason it keeps returning undefined. Here is my code:</p>

<pre><code>function findSelection(field) {
    var test = 'document.theForm.' + field;
    var sizes = test;

    alert(sizes);
        for (i=0; i &lt; sizes.length; i++) {
            if (sizes[i].checked==true) {
            alert(sizes[i].value + ' you got a value');     
            return sizes[i].value;
        }
    }
}
</code></pre>

<p>submitForm:</p>

<pre><code>function submitForm() {

    var genderS =  findSelection(""genderS"");
    alert(genderS);
}
</code></pre>

<p>HTML:</p>

<pre><code>&lt;form action=""#n"" name=""theForm""&gt;

    &lt;label for=""gender""&gt;Gender: &lt;/label&gt;
    &lt;input type=""radio"" name=""genderS"" value=""1"" checked&gt; Male
    &lt;input type=""radio"" name=""genderS"" value=""0"" &gt; Female&lt;br&gt;&lt;br&gt;
    &lt;a href=""javascript: submitForm()""&gt;Search&lt;/A&gt;
&lt;/form&gt;
</code></pre>
","Get Radio Button Value with Javascript","<javascript><html><for-loop><radio-button>",13,0,25,"","",9618826,1309,"13:37:42"
"303",303,"2011-02-28 12:22:53",NA,173,305723,"<p>I have a JavaScript file from a third party developer. It has a has link which replaces the current page with the target. I want to have this page opened in a new tab.</p>

<p>This is what I have so far:</p>

<pre><code>if (command == 'lightbox') {
 location.href=""https://support.wwf.org.uk/earth_hour/index.php?type=individual"";
}
</code></pre>

<p>Can anyone help me out?</p>
","JavaScript: location.href to open in new window/tab?","<javascript>",3,0,35,"","",5141926,935,"12:22:53"
"304",304,"2009-08-20 14:49:34",NA,160,305600,"<p>How can I add ""readonly"" to a specific <code>&lt;input &gt;</code>? .attr('readonly') does not work.</p>
","Add ""readonly"" to <input > (jQuery)","<javascript><jquery>",8,4,24,"","",1306723,378,"14:49:34"
"305",305,"2012-01-07 23:44:02",NA,256,305551,"<p>Using <code>.fadeIn()</code> and <code>.fadeOut()</code>, I have been hiding/showing an element on my page, but with two buttons, one for hide and one for show. I now want to have one button to toggle both. Therefore, my question is how do I detect if the element is visible or not?</p>

<p>My HTML as it is:</p>

<pre><code>&lt;a onclick=""showTestElement()""&gt;Show&lt;/a&gt;
&lt;a onclick=""hideTestElement()""&gt;Hide&lt;/a&gt;
</code></pre>

<p>My JS as it is:</p>

<pre><code>&lt;script&gt;
    function showTestElement(){
        $('#testElement').fadeIn('fast');
    }

    function hideTestElement(){
        $('#testElement').fadeOut('fast');
    }
&lt;/script&gt;
</code></pre>

<p>My HTML as I would like to have it:</p>

<pre><code>&lt;a onclick=""toggleTestElement()""&gt;Show/Hide&lt;/a&gt;
</code></pre>

<p>My JS as  I would like to have it, although pure jQuery would be nice:</p>

<pre><code>&lt;script&gt;
    function toggleTestElement(){
        if (document.getElementById('testElement').***IS_VISIBLE***) {
            $('#testElement').fadeOut('fast');
        }
        else{
            $('#testElement').fadeIn('fast');
        }
    }
&lt;/script&gt;
</code></pre>

<p>Any help gratefully received..</p>
","Detect if an element is visible","<javascript><jquery>",3,0,42,"2014-08-16 04:56:48","",8774101,1248,"23:44:02"
"306",306,"2008-09-24 22:45:05",NA,792,305387,"<p>If not, what's the common practice for specifying variables that are used as constants?</p>
","Are there constants in JavaScript?","<javascript><const>",31,9,105,"","",130399,48,"22:45:05"
"307",307,"2011-08-07 18:06:39",NA,245,305114,"<p>The <a href=""http://www.w3.org/TR/XMLHttpRequest2/"">XMLHttpRequest Level 2</a> standard (still a working draft) defines the <code>FormData</code> interface. This interface enables appending <code>File</code> objects to XHR-requests (Ajax-requests).</p>

<p>Btw, this is a new feature - in the past, the ""hidden-iframe-trick"" was used (read about that in <a href=""http://stackoverflow.com/questions/6718664/is-it-possible-to-peform-an-asynchronous-cross-domain-file-upload/6963843"">my other question</a>).</p>

<p>This is how it works (example):</p>

<pre><code>var xhr = new XMLHttpRequest(),
    fd = new FormData();

fd.append( 'file', input.files[0] );
xhr.open( 'POST', 'http://example.com/script.php', true );
xhr.onreadystatechange = handler;
xhr.send( fd );
</code></pre>

<p>where <code>input</code> is a <code>&lt;input type=""file""&gt;</code> field, and <code>handler</code> is the success-handler for the Ajax-request.</p>

<p>This works beautifully in all browsers (again, except IE).</p>

<p>Now, I would like to make this functionality work with jQuery. I tried this:</p>

<pre><code>var fd = new FormData();    
fd.append( 'file', input.files[0] );

$.post( 'http://example.com/script.php', fd, handler );
</code></pre>

<p>Unfortunately, that won't work (an ""Illegal invocation"" error is thrown - <a href=""http://i.imgur.com/Uy8Xu.png"">screenshot is here</a>). I assume jQuery expects a simple key-value object representing form-field-names / values, and the <code>FormData</code> instance that I'm passing in is apparently incompatible.</p>

<p>Now, since it is possible to pass a <code>FormData</code> instance into <code>xhr.send()</code>, I hope that it is also possible to make it work with jQuery.</p>

<hr>

<p><strong>Update:</strong></p>

<p>I've created a ""feature ticket"" over at jQuery's Bug Tracker. It's here: <a href=""http://bugs.jquery.com/ticket/9995"">http://bugs.jquery.com/ticket/9995</a></p>

<p>I was suggested to use an ""Ajax prefilter""...</p>

<hr>

<p><strong>Update:</strong></p>

<p>First, let me give a demo demonstrating what behavior I would like to achieve. </p>

<p>HTML:</p>

<pre><code>&lt;form&gt;
    &lt;input type=""file"" id=""file"" name=""file""&gt;
    &lt;input type=""submit""&gt;
&lt;/form&gt;
</code></pre>

<p>JavaScript:</p>

<pre><code>$( 'form' ).submit(function ( e ) {
    var data, xhr;

    data = new FormData();
    data.append( 'file', $( '#file' )[0].files[0] );

    xhr = new XMLHttpRequest();

    xhr.open( 'POST', 'http://hacheck.tel.fer.hr/xml.pl', true );
    xhr.onreadystatechange = function ( response ) {};
    xhr.send( data );

    e.preventDefault();
});
</code></pre>

<p>The above code results in this HTTP-request:</p>

<p><img src=""http://i.stack.imgur.com/YJYPm.png"" alt=""multipartformdata""></p>

<p><strong>This is what I need</strong> - I want that ""multipart/form-data"" content-type!</p>

<hr>

<p>The proposed solution would be like so:</p>

<pre><code>$( 'form' ).submit(function ( e ) {
    var data;

    data = new FormData();
    data.append( 'file', $( '#file' )[0].files[0] );

    $.ajax({
        url: 'http://hacheck.tel.fer.hr/xml.pl',
        data: data,
        processData: false,
        type: 'POST',
        success: function ( data ) {
            alert( data );
        }
    });

    e.preventDefault();
});
</code></pre>

<p>However, this results in:</p>

<p><img src=""http://i.stack.imgur.com/uU2Gi.png"" alt=""wrongcontenttype""></p>

<p>As you can see, the content type is wrong...</p>
","How to send FormData objects with Ajax-requests in jQuery?","<javascript><jquery><ajax><html5><multipartform-data>",10,7,141,"","",8244082,1095,"18:06:39"
"308",308,"2008-09-23 15:39:39",NA,77,304759,"<p>I need to set the text within a DIV element dynamically. What is the best, browser safe approach? I have prototypejs and scriptaculous available.</p>

<pre><code>&lt;div id=""panel""&gt;
  &lt;div id=""field_name""&gt;TEXT GOES HERE&lt;/div&gt;
&lt;/div&gt;
</code></pre>

<p>Here's what the function will look like:</p>

<pre><code>function showPanel(fieldName) {
  var fieldNameElement = document.getElementById('field_name');
  //Make replacement here
}
</code></pre>
","How do I replace text inside a div element?","<javascript><html><dom>",12,2,21,"","",121859,47,"15:39:39"
"309",309,"2013-05-23 10:27:21",NA,76,304713,"<pre><code>&lt;div id=""date""&gt;23/05/2013&lt;/div&gt;
</code></pre>

<p>I want to format this date, first i want to break string at like the 2nd character and have the rest in the next line. And if it possible with jQuery to append two  tags.
as follows:</p>

<blockquote>
  <p><strong>23<br> 05/2013</strong></p>
</blockquote>

<pre><code>&lt;div id=""date""&gt;
&lt;span&gt;23&lt;/span&gt;
05/2013&lt;/div&gt;
</code></pre>

<p>What i did:</p>

<pre><code>&lt;div id=""date""&gt;23/05/2013&lt;/div&gt;
&lt;script type=""text/javascript""&gt;
$(document).ready(function(){
    $(""#date"").text().substring(0, 2) + '&lt;br /&gt;';     
});
&lt;/script&gt;
</code></pre>

<p><a href=""http://jsfiddle.net/K3D6d/"">http://jsfiddle.net/K3D6d/</a></p>

<p>but this does not work!<br>
Can someone help with jQuery?<br>
Thank you!</p>
","How to split the string using jQuery or javascript?","<javascript><jquery><split><substring>",6,1,21,"","",16711645,1750,"10:27:21"
"310",310,"2010-01-03 23:21:30",NA,182,304319,"<p>In PHP, I'd do something like:</p>

<pre><code>$array = array();
$array[] = ""value1"";
$array[] = ""value2"";
$array[] = ""value3"";
</code></pre>

<p>How would I do the same thing in JavaScript?</p>
","Add new value to an existing array in JavaScript","<javascript><arrays>",8,4,34,"2015-12-16 23:12:06","",1996755,514,"23:21:30"
"311",311,"2010-04-06 18:35:53",NA,203,302947,"<h3>Case One:</h3>

<pre><code>new Date(Date.parse(""Jul 8, 2005""));
</code></pre>

<h3>Output:</h3>

<p>Fri Jul 08 2005 00:00:00 GMT-0700 (PST)</p>

<h3>Case Two:</h3>

<pre><code>new Date(Date.parse(""2005-07-08""));
</code></pre>

<h3>Output:</h3>

<p>Thu Jul 07 2005 17:00:00 GMT-0700 (PST)</p>

<hr />

<p>Why is the second parse incorrect?</p>
","Why does Date.parse give incorrect results?","<javascript><date>",8,5,65,"","",2587398,607,"18:35:53"
"312",312,"2010-03-31 19:16:11",NA,106,302214,"<p>I need to break apart a string that always looks like this:</p>

<blockquote>
  <p>something -- something_else. </p>
</blockquote>

<p>I need to put ""something_else"" in another input field. Currently, this string example is being added to an HTML table row on the fly like this:</p>

<pre><code>tRow.append($('&lt;td&gt;').text($('[id$=txtEntry2]').val()));
</code></pre>

<p>I figure ""split"" is the way to go, but there is very little documentation that I can find.</p>
","How to use split?","<javascript><split>",4,6,22,"","",2555837,601,"19:16:11"
"313",313,"2008-09-23 14:07:12",NA,482,302035,"<p>There was a post this morning asking about how many people disable javascript. Then I began to wonder what techniques might be used to determine if the user has it disabled. Anyone know of some short/simple ways to detect if Javascript is disabled? my intention is to give warning that the site is not able to function properly without the browser having JS enabled, eventually I would want to redirect them to content that is able to work in the abscence of JS, but I need this detection as a place holder to start.</p>
","How to detect if JavaScript is disabled?","<javascript><html><code-snippets>",36,5,185,"","2013-02-06 15:53:37",121259,47,"14:07:12"
"314",314,"2009-10-26 14:39:00",NA,258,301905,"<p>Typically if we just use <code>alert(object);</code> it will show as <code>[object Object]</code>.  How to print all the content parameters of an object in JavaScript?</p>
","Print content of JavaScript object?","<javascript><object>",15,0,127,"2015-04-19 10:08:14","",1625271,445,"14:39:00"
"315",315,"2011-05-26 05:22:51",NA,223,301145,"<p>I would like to format my numbers to always display 2 decimal places, rounding where applicable.</p>

<p>Examples:</p>

<pre><code>number     display
------     -------
1          1.00
1.341      1.34
1.345      1.35
</code></pre>

<p>I have been using this: </p>

<pre><code>parseFloat(num).toFixed(2);
</code></pre>

<p>But it's displaying <code>1</code> as <code>1</code>, rather than <code>1.00</code>.</p>
","Format number to always show 2 decimal places","<javascript><floating-point><number-formatting>",16,3,48,"","",6134070,1022,"05:22:51"
"316",316,"2009-02-25 09:05:16",NA,124,301009,"<p>Can anybody give the sample code to read and write the file using JavaScript?</p>
","How to read and write into file using JavaScript","<javascript><filesystems>",12,3,44,"","",NA,202,"09:05:16"
"317",317,"2013-05-15 10:24:59",NA,32,300938,"<p>I have been trying the following:</p>

<pre><code>&lt;form action=""/home"" class=""inline""&gt;
    &lt;button class=""float-left submit-button"" &gt;Home&lt;/button&gt;
&lt;/form&gt;
</code></pre>

<p>It seems to work but it goes to the page ""/home?""</p>

<p>Is there a better way for me to make a button inside a form make the page go to a new location?</p>
","How can I make a button redirect my page to another page?","<javascript><jquery><html>",5,2,7,"2013-05-15 12:15:32","",16562671,1742,"10:24:59"
"318",318,"2010-06-10 13:15:50",NA,109,299995,"<p>I've read that you can disable (make physically unclickable) a html button simply but appending 'disable' to its tag, but not as an attribute, as follows:</p>

<pre><code>&lt;input type=""button"" name=myButton value=""disable"" disabled&gt;
</code></pre>

<p>Since this setting is not an attribute, how can I add this in dynamically via JavaScript to disable a button that was previously enabled?</p>
","How to disable html button using JavaScript?","<javascript><html>",10,0,16,"","",3014678,672,"13:15:50"
"319",319,"2010-04-24 03:26:13",NA,279,299955,"<p>I often see JavaScript code which checks for undefined parameters etc. this way:</p>

<pre><code>if (typeof input !== ""undefined"") {
    // do stuff
}
</code></pre>

<p>This seems kind of wasteful, since it involves both a type lookup and a string comparison, not to mention its verbosity. It's needed because 'undefined' could be renamed, though. My question is: How is that code any better than this approach:</p>

<pre><code>if (null != input) {
    // do stuff
}
</code></pre>

<p>As far as I know, you can't redefine null, so it's not going to break unexpectedly. And, because of the type-coercion of the != operator, this checks for both undefined and null... which is often exactly what you want (e.g. for optional function parameters). Yet this form does not seem widespread, and it even causes JSLint to yell at you for using the evil != operator. Why is this considered bad style?</p>
","typeof !== ""undefined"" vs. != null","<javascript><coding-style>",8,9,109,"","",2703122,625,"03:26:13"
